740,<= numLines,,,,,,,
S0R0,S0R1,S0R2,S0R3,S0R4,S0R5,S0R6,S0R7,S0R8
-3208,1288,16513,-378,-339,341,-10,178,-96
-3236,1177,16068,-542,-259,267,-8,176,-96
-2189,-545,12343,-437,-597,268,-3,171,-89
-1785,-468,14601,-388,-332,266,-10,174,-86
-2263,-213,14245,-195,-276,187,-2,172,-90
-1880,-768,14888,-80,-160,184,-1,163,-93
-2555,-489,14283,-74,92,317,-1,167,-83
-2719,-178,14755,-55,84,394,-6,168,-90
-2917,-131,14479,-85,186,452,-5,169,-87
-3179,79,13475,25,113,489,-13,159,-83
-2970,-281,14806,-48,-206,455,-14,166,-84
-3550,386,15530,-266,-21,390,-5,169,-91
-3440,157,16165,-465,190,321,-13,167,-91
-3531,-828,16169,-609,498,465,-8,166,-86
196,-5789,16633,-1664,1529,1325,-1,169,-91
-3568,-3166,15278,-2293,730,3102,-7,167,-83
-6521,3633,16128,-2208,-6,3182,-3,159,-83
-8324,3615,19439,-1675,-226,1816,-11,153,-75
-6370,-12,11912,-601,66,-753,2,156,-76
-3642,-2220,15239,-280,-1016,-638,-3,159,-79
-3145,-4049,15076,-387,-1182,-40,-2,154,-74
-1503,192,14499,-134,-549,321,2,158,-80
-193,-1898,11894,-492,-2092,887,3,143,-79
-1281,-4522,11719,-607,-2245,1359,-7,141,-69
-1085,-3062,20280,-135,-2196,1747,-4,126,-62
-3039,-2584,22500,-243,-1312,1390,8,128,-66
-2897,-1927,21491,-361,-592,902,5,125,-53
-2987,-4251,23031,-791,-18,479,4,128,-68
-3646,296,16759,-1212,1385,957,6,122,-68
-3732,-2353,17478,-1358,1236,575,1,133,-73
-4543,-2757,16387,-1326,1396,587,6,130,-74
-5055,-2987,16593,-1125,1683,521,11,139,-75
-6000,-1591,15494,-871,1527,303,16,132,-80
-6195,-3036,16695,-839,1495,200,16,136,-72
-6519,-2358,16741,-842,1617,67,16,138,-76
-6361,-4329,16944,-1018,1582,-155,8,150,-72
-6250,-3717,16645,-926,1469,-333,26,152,-72
-6046,-3579,16078,-840,1143,-582,18,146,-74
-5428,-2569,15060,-695,654,-764,26,154,-68
-5641,-3066,14766,-568,388,-974,29,163,-69
-5878,-2725,14430,-752,348,-1085,32,158,-74
-6473,-1951,14518,-1317,-9,-1565,29,151,-59
-7645,-1232,14988,-1598,-67,-2037,44,166,-66
-19956,-17712,16245,-3405,793,-2435,38,166,-54
-13642,-9080,14149,-5643,49,-516,55,169,-59
-11951,-8836,18615,-6225,-917,-428,77,169,-47
-5637,-8102,12333,-7075,-451,-80,88,156,-42
-10827,-3356,12074,-6894,-889,-1506,104,162,-38
-6633,-7991,4090,-7054,-1186,-1454,122,152,-36
-6893,-9743,8642,-7361,-1265,-1665,138,158,-36
-4394,-9085,6781,-6036,-1527,-1747,159,143,-33
